nuts3,wind_area,pv_area
DEA45,0.0,8226461.524372095
DEA46,2280000.0,8324341.873297159
DEA47,6100000.0,5163014.85907915
DEA51,0.0,4664935.778556219
DEA52,0.0,7361851.775534034
DEA53,0.0,2739261.396158161
DEA54,70000.0,2997846.005906999
DEA55,0.0,1664313.0251619846
DEA56,0.0,6355627.904846945
DEA57,1010000.0,6359793.026077799
DEA58,0.0,8983125.214643868
DEA59,0.0,3503214.048583923
DEA5A,0.0,7524291.503537331
DEA5B,310000.0,6432335.554181835
DEA5C,0.0,7628419.534308675
DEB11,80000.0,2030843.693477116
DEB12,70000.0,3420952.904274561
DEB13,3340000.0,3609771.7334065987
DEB14,12790000.0,3509114.636994299
DEB15,490000.0,1879163.861986858
DEB16,2560000.0,1169010.6921262906
DEB17,7300000.0,4437589.578038785
DEB18,1120000.0,4980096.618357488
DEB19,17730000.0,2065553.0370675642
DEB1A,4960000.0,3006523.341804611
DEB1B,1080000.0,5057498.454564187
DEB21,0.0,2050628.0193236715
DEB22,2910000.0,2188771.206813655
DEB23,54590000.0,1880205.1422945715
DEB24,4730000.0,1306112.5993085606
DEB25,8810000.0,2814580.6717494335
DEB31,0.0,772282.8948874694
DEB32,0.0,1691733.4065984385
DEB33,1100000.0,960407.5371476979
DEB34,0.0,1693468.873777961
DEB35,2310000.0,1958995.3522448887
DEB36,10000.0,930904.595095817
DEB37,0.0,788596.28637498
DEB38,0.0,624421.0911921606
DEB39,6410000.0,1371019.0718226985
DEB3A,30000.0,752498.569040914
DEB3B,77320000.0,2582375.1631293357
DEB3C,9040000.0,3561525.7458158755
DEB3D,35980000.0,1334574.261052728
DEB3E,7300000.0,2690668.315131534
DEB3F,10740000.0,2647281.635643474
DEB3G,14960000.0,1558102.4337752135
DEB3H,27590000.0,2881916.7983149025
DEB3I,4610000.0,3102321.130114248
DEB3J,23410000.0,4707975.364608375
DEB3K,1060000.0,2478247.1323579918
DEC01,0.0,7330266.272866726
DEC02,3490000.0,3534799.5512512308
DEC03,0.0,4043638.5282871993
DEC04,0.0,5661441.033037984
DEC05,50000.0,3967277.9723882135
DEC06,150000.0,2352946.4019964742
DED21,900000.0,6599981.683723699
DED2C,13690000.0,7961282.139341072
DED2D,38930000.0,7571843.304256253
DED2E,68260000.0,5529892.620830186
DED2F,25120000.0,7085565.400554067
DED41,240000.0,4485835.565629507
DED42,6530000.0,11399936.808846762
DED43,121940000.0,8492335.096274927
DED44,9810000.0,5778411.520937793
DED45,23040000.0,9308698.857522266
DED51,8380000.0,5899200.036632553
DED52,65120000.0,7010940.3118346045
DED53,77310000.0,5136288.664514504
DEE01,4360000.0,1808356.801062344
DEE02,1070000.0,2793407.97215926
DEE03,3650000.0,3166880.509192481
DEE04,178270000.0,2376548.7556379787
DEE05,140200000.0,3994698.3538246676
DEE06,136230000.0,2555301.8751287865
DEE07,369520000.0,4586839.755477712
DEE08,127380000.0,3952700.0480802255
DEE09,245790000.0,5136635.757950417
DEE0A,114540000.0,3600053.117201273
DEE0B,187660000.0,4861390.663278156
DEE0C,280380000.0,4544841.449733269
DEE0D,333570000.0,2865950.5002632965
DEE0E,108190000.0,3330014.424067587
DEF01,70000.0,1097856.5377658722
DEF02,340000.0,2883305.1720585204
DEF03,620000.0,3385549.373812304
DEF04,0.0,1442173.226183117
DEF05,158570000.0,3033596.6298051607
DEF06,64220000.0,4440366.3255260205
DEF07,132890000.0,3964848.3183368905
DEF08,110870000.0,4332420.266959727
DEF09,3730000.0,5916901.8018636815
DEF0A,80140000.0,2632009.5244636764
DEF0B,144950000.0,5703092.245346521
DEF0C,181670000.0,3406722.0734024774
DEF0D,89890000.0,5149825.308514779
DEF0E,85850000.0,2877751.6770840487
DEF0F,19060000.0,4721859.102044554
DEG01,9190000.0,2650752.5700025186
DEG02,4450000.0,1399827.8270027703
DEG03,0.0,1426554.0215674154
DEG04,0.0,807339.331913822
DEG05,230000.0,1006918.0575588982
DEG06,23640000.0,1913873.2055773062
DEG07,56180000.0,1836471.369370607
DEG09,163420000.0,2229728.2322503836
DEG0A,133630000.0,1821893.4450626187
DEG0B,13020000.0,3006870.4352405155
DEG0C,46630000.0,2986391.9225221514
DEG0D,140730000.0,1308889.3467957964
DEG0E,16250000.0,1317219.5892575039
DEG0F,29380000.0,2099221.100350299
DEG0G,62510000.0,1695551.4343933878
DEG0H,910000.0,1632033.3356228678
DEG0I,4140000.0,2529964.054307755
DEG0J,29510000.0,1934698.811731575
DEG0K,32290000.0,1911443.5515259749
DEG0L,60830000.0,2398415.642099961
DEG0M,72080000.0,1856602.7886530668
DEG0N,3270000.0,783042.7914005083
DEG0P,20950000.0,3185970.6481672274
